id,mass,sources,formula_diff
EVODEX.2-M19,427.02955000000003,"EVODEX.2-P2802,EVODEX.2-P2808,EVODEX.2-P2905,EVODEX.2-P2951,EVODEX.2-P2969,EVODEX.2-P3033,EVODEX.2-P3036,EVODEX.2-P3039,EVODEX.2-P3041,EVODEX.2-P3042,EVODEX.2-P3063,EVODEX.2-P3069,EVODEX.2-P3073,EVODEX.2-P3075,EVODEX.2-P3080,EVODEX.2-P3085,EVODEX.2-P3095,EVODEX.2-P3097,EVODEX.2-P3116,EVODEX.2-P3212,EVODEX.2-P3278,EVODEX.2-P3280,EVODEX.2-P3282,EVODEX.2-P3292,EVODEX.2-P3300","{""C"": 10, ""H"": 15, ""N"": 5, ""O"": 10, ""P"": 2}"
EVODEX.2-M193,154.13584,"EVODEX.2-P1789,EVODEX.2-P1790,EVODEX.2-P1792,EVODEX.2-P3385,EVODEX.2-P3603","{""C"": 10, ""H"": 18, ""O"": 1}"
EVODEX.2-M194,157.05281,"EVODEX.2-P4599,EVODEX.2-P4628,EVODEX.2-P4629,EVODEX.2-P4668,EVODEX.2-P4678","{""C"": 10, ""H"": 7, ""N"": 1, ""O"": 1}"
EVODEX.2-M100,176.04734,"EVODEX.2-P1511,EVODEX.2-P1515,EVODEX.2-P1519,EVODEX.2-P1522,EVODEX.2-P1566,EVODEX.2-P1638,EVODEX.2-P1639,EVODEX.2-P1642,EVODEX.2-P1768,EVODEX.2-P3597","{""C"": 10, ""H"": 8, ""O"": 3}"
EVODEX.2-M195,175.06337,"EVODEX.2-P4600,EVODEX.2-P4602,EVODEX.2-P4605,EVODEX.2-P4666,EVODEX.2-P4878","{""C"": 10, ""H"": 9, ""N"": 1, ""O"": 2}"
EVODEX.2-M196,186.07940000000002,"EVODEX.2-P6735,EVODEX.2-P6743,EVODEX.2-P6745,EVODEX.2-P6751,EVODEX.2-P6758","{""C"": 11, ""H"": 10, ""N"": 2, ""O"": 1}"
EVODEX.2-M197,206.05790000000002,"EVODEX.2-P1549,EVODEX.2-P1572,EVODEX.2-P1840,EVODEX.2-P1841,EVODEX.2-P3595","{""C"": 11, ""H"": 10, ""O"": 4}"
EVODEX.2-M93,204.08996000000002,"EVODEX.2-P2390,EVODEX.2-P2514,EVODEX.2-P2519,EVODEX.2-P2524,EVODEX.2-P2528","{""C"": 11, ""H"": 12, ""N"": 2, ""O"": 2}"
EVODEX.2-M198,291.09540999999996,"EVODEX.2-P2170,EVODEX.2-P2176,EVODEX.2-P2177,EVODEX.2-P2178,EVODEX.2-P2179","{""C"": 11, ""H"": 17, ""N"": 1, ""O"": 8}"
EVODEX.2-M202,203.05827,"EVODEX.2-P2526,EVODEX.2-P2692,EVODEX.2-P2695,EVODEX.2-P2697,EVODEX.2-P2759","{""C"": 11, ""H"": 9, ""N"": 1, ""O"": 3}"
EVODEX.2-M203,484.05104,"EVODEX.2-P6537,EVODEX.2-P6538,EVODEX.2-P6541,EVODEX.2-P6843,EVODEX.2-P6852","{""C"": 12, ""H"": 18, ""N"": 6, ""O"": 11, ""P"": 2}"
EVODEX.2-M204,182.16716,"EVODEX.2-P1699,EVODEX.2-P1749,EVODEX.2-P1797,EVODEX.2-P1799,EVODEX.2-P1800","{""C"": 12, ""H"": 22, ""O"": 1}"
EVODEX.2-M205,263.07939,"EVODEX.2-P4517,EVODEX.2-P4521,EVODEX.2-P4527,EVODEX.2-P4528,EVODEX.2-P4530","{""C"": 13, ""H"": 13, ""N"": 1, ""O"": 5}"
EVODEX.2-M206,260.12748,"EVODEX.2-P4880,EVODEX.2-P4962,EVODEX.2-P4968,EVODEX.2-P4971,EVODEX.2-P4973","{""C"": 13, ""H"": 16, ""N"": 4, ""O"": 2}"
EVODEX.2-M207,498.0667,"EVODEX.2-P6365,EVODEX.2-P6599,EVODEX.2-P6739,EVODEX.2-P6798,EVODEX.2-P6828","{""C"": 13, ""H"": 20, ""N"": 6, ""O"": 11, ""P"": 2}"
EVODEX.2-M208,530.0388,"EVODEX.2-P6810,EVODEX.2-P6838,EVODEX.2-P6845,EVODEX.2-P6881,EVODEX.2-P6891","{""C"": 13, ""H"": 20, ""N"": 6, ""O"": 11, ""P"": 2, ""S"": 1}"
EVODEX.2-M209,514.0616,"EVODEX.2-P6436,EVODEX.2-P6644,EVODEX.2-P6687,EVODEX.2-P6723,EVODEX.2-P6805","{""C"": 13, ""H"": 20, ""N"": 6, ""O"": 12, ""P"": 2}"
EVODEX.2-M210,512.08236,"EVODEX.2-P6430,EVODEX.2-P6472,EVODEX.2-P6478,EVODEX.2-P6484,EVODEX.2-P6553","{""C"": 14, ""H"": 22, ""N"": 6, ""O"": 11, ""P"": 2}"
EVODEX.2-M211,528.0772599999999,"EVODEX.2-P6453,EVODEX.2-P6613,EVODEX.2-P6696,EVODEX.2-P6733,EVODEX.2-P6815","{""C"": 14, ""H"": 22, ""N"": 6, ""O"": 12, ""P"": 2}"
EVODEX.2-M212,365.13219,"EVODEX.2-P3974,EVODEX.2-P3975,EVODEX.2-P3977,EVODEX.2-P3978,EVODEX.2-P3981","{""C"": 14, ""H"": 23, ""N"": 1, ""O"": 10}"
EVODEX.2-M101,210.19848,"EVODEX.2-P1753,EVODEX.2-P1780,EVODEX.2-P1783,EVODEX.2-P1801,EVODEX.2-P1802,EVODEX.2-P1848,EVODEX.2-P1849,EVODEX.2-P1850,EVODEX.2-P1852,EVODEX.2-P1853","{""C"": 14, ""H"": 26, ""O"": 1}"
EVODEX.2-M213,394.12384,"EVODEX.2-P4633,EVODEX.2-P4635,EVODEX.2-P4639,EVODEX.2-P4641,EVODEX.2-P4647","{""C"": 15, ""H"": 18, ""N"": 6, ""O"": 7}"
EVODEX.2-M214,412.1344,"EVODEX.2-P4638,EVODEX.2-P4642,EVODEX.2-P4648,EVODEX.2-P4649,EVODEX.2-P4654","{""C"": 15, ""H"": 20, ""N"": 6, ""O"": 8}"
EVODEX.2-M215,556.0721599999999,"EVODEX.2-P6372,EVODEX.2-P6383,EVODEX.2-P6401,EVODEX.2-P6411,EVODEX.2-P6545","{""C"": 15, ""H"": 22, ""N"": 6, ""O"": 13, ""P"": 2}"
EVODEX.2-M216,204.18792,"EVODEX.2-P2305,EVODEX.2-P2309,EVODEX.2-P2310,EVODEX.2-P2321,EVODEX.2-P2328","{""C"": 15, ""H"": 24}"
EVODEX.2-M217,526.0980199999999,"EVODEX.2-P6593,EVODEX.2-P6598,EVODEX.2-P6729,EVODEX.2-P6793,EVODEX.2-P6869","{""C"": 15, ""H"": 24, ""N"": 6, ""O"": 11, ""P"": 2}"
EVODEX.2-M218,558.0701199999999,"EVODEX.2-P6568,EVODEX.2-P6631,EVODEX.2-P6720,EVODEX.2-P6796,EVODEX.2-P6801","{""C"": 15, ""H"": 24, ""N"": 6, ""O"": 11, ""P"": 2, ""S"": 1}"
EVODEX.2-M219,564.0885599999999,"EVODEX.2-P6288,EVODEX.2-P6291,EVODEX.2-P6293,EVODEX.2-P6319,EVODEX.2-P6600","{""C"": 16, ""H"": 22, ""N"": 8, ""O"": 11, ""P"": 2}"
EVODEX.2-M102,540.1136799999999,"EVODEX.2-P6457,EVODEX.2-P6594,EVODEX.2-P6617,EVODEX.2-P6625,EVODEX.2-P6711,EVODEX.2-P6715,EVODEX.2-P6757,EVODEX.2-P6760,EVODEX.2-P6866,EVODEX.2-P6885","{""C"": 16, ""H"": 26, ""N"": 6, ""O"": 11, ""P"": 2}"
EVODEX.2-M220,238.2298,"EVODEX.2-P1574,EVODEX.2-P1704,EVODEX.2-P1705,EVODEX.2-P1750,EVODEX.2-P1804","{""C"": 16, ""H"": 30, ""O"": 1}"
EVODEX.2-M221,242.26112,"EVODEX.2-P1782,EVODEX.2-P1786,EVODEX.2-P1791,EVODEX.2-P1798,EVODEX.2-P1809","{""C"": 16, ""H"": 34, ""O"": 1}"
EVODEX.2-M222,554.17706,"EVODEX.2-P6267,EVODEX.2-P6270,EVODEX.2-P6273,EVODEX.2-P6276,EVODEX.2-P6280","{""C"": 17, ""H"": 32, ""N"": 8, ""O"": 9, ""P"": 2}"
EVODEX.2-M224,264.24546,"EVODEX.2-P1598,EVODEX.2-P1677,EVODEX.2-P1687,EVODEX.2-P1698,EVODEX.2-P1781","{""C"": 18, ""H"": 32, ""O"": 1}"
EVODEX.2-M225,280.24036,"EVODEX.2-P1675,EVODEX.2-P1805,EVODEX.2-P1806,EVODEX.2-P1807,EVODEX.2-P1808","{""C"": 18, ""H"": 32, ""O"": 2}"
EVODEX.2-M226,281.27205,"EVODEX.2-P5337,EVODEX.2-P5349,EVODEX.2-P5353,EVODEX.2-P5358,EVODEX.2-P5361","{""C"": 18, ""H"": 35, ""N"": 1, ""O"": 1}"
EVODEX.2-M166,299.28261000000003,"EVODEX.2-P1695,EVODEX.2-P1696,EVODEX.2-P1697,EVODEX.2-P1707,EVODEX.2-P5338,EVODEX.2-P5340,EVODEX.2-P5343,EVODEX.2-P5351,EVODEX.2-P5354","{""C"": 18, ""H"": 37, ""N"": 1, ""O"": 2}"
EVODEX.2-M582,301.29827,EVODEX.2-P1706,"{""C"": 18, ""H"": 39, ""N"": 1, ""O"": 2}"
EVODEX.2-M583,525.13752,EVODEX.2-P6421,"{""C"": 19, ""H"": 24, ""N"": 7, ""O"": 9, ""P"": 1}"
EVODEX.2-M103,27.010930000000002,"EVODEX.2-P5818,EVODEX.2-P5820,EVODEX.2-P5827,EVODEX.2-P5829,EVODEX.2-P5830,EVODEX.2-P5834,EVODEX.2-P5835,EVODEX.2-P5898,EVODEX.2-P5904,EVODEX.2-P5907","{""C"": 1, ""H"": 1, ""N"": 1}"
EVODEX.2-M227,43.00583,"EVODEX.2-P1457,EVODEX.2-P1459,EVODEX.2-P1462,EVODEX.2-P1466,EVODEX.2-P1467","{""C"": 1, ""H"": 1, ""N"": 1, ""O"": 1}"
EVODEX.2-M17,14.01566,"EVODEX.2-P1269,EVODEX.2-P1323,EVODEX.2-P1325,EVODEX.2-P1329,EVODEX.2-P1332,EVODEX.2-P1333,EVODEX.2-P1335,EVODEX.2-P1337,EVODEX.2-P1342,EVODEX.2-P1346,EVODEX.2-P1348,EVODEX.2-P1350,EVODEX.2-P1356,EVODEX.2-P1363,EVODEX.2-P1371,EVODEX.2-P1375,EVODEX.2-P1377,EVODEX.2-P1378,EVODEX.2-P1379,EVODEX.2-P1380,EVODEX.2-P1387,EVODEX.2-P1390,EVODEX.2-P1402,EVODEX.2-P1405,EVODEX.2-P1421,EVODEX.2-P1423,EVODEX.2-P1426,EVODEX.2-P1427,EVODEX.2-P1432,EVODEX.2-P1435,EVODEX.2-P1439,EVODEX.2-P2009,EVODEX.2-P2111,EVODEX.2-P2593,EVODEX.2-P2601,EVODEX.2-P2603,EVODEX.2-P2610,EVODEX.2-P2617,EVODEX.2-P3550","{""C"": 1, ""H"": 2}"
EVODEX.2-M228,42.021860000000004,"EVODEX.2-P1473,EVODEX.2-P1474,EVODEX.2-P1476,EVODEX.2-P1477,EVODEX.2-P4961","{""C"": 1, ""H"": 2, ""N"": 2}"
EVODEX.2-M229,15.023489999999999,"EVODEX.2-P1340,EVODEX.2-P1384,EVODEX.2-P1442,EVODEX.2-P1443,EVODEX.2-P1444","{""C"": 1, ""H"": 3}"
EVODEX.2-M230,32.02622,"EVODEX.2-P3551,EVODEX.2-P4131,EVODEX.2-P4960,EVODEX.2-P5204,EVODEX.2-P5292","{""C"": 1, ""H"": 4, ""O"": 1}"
EVODEX.2-M232,27.9949,"EVODEX.2-P1445,EVODEX.2-P1446,EVODEX.2-P1450,EVODEX.2-P5495,EVODEX.2-P5496","{""C"": 1, ""O"": 1}"
EVODEX.2-M233,43.9898,"EVODEX.2-P5765,EVODEX.2-P5767,EVODEX.2-P5770,EVODEX.2-P5773,EVODEX.2-P5777","{""C"": 1, ""O"": 2}"
EVODEX.2-M234,521.1985099999999,"EVODEX.2-P4610,EVODEX.2-P4611,EVODEX.2-P4621,EVODEX.2-P4622,EVODEX.2-P4626","{""C"": 20, ""H"": 27, ""N"": 9, ""O"": 8}"
EVODEX.2-M235,460.21854,"EVODEX.2-P4655,EVODEX.2-P4656,EVODEX.2-P4657,EVODEX.2-P4658,EVODEX.2-P4662","{""C"": 20, ""H"": 28, ""N"": 8, ""O"": 5}"
EVODEX.2-M236,661.0921699999999,"EVODEX.2-P6584,EVODEX.2-P6590,EVODEX.2-P6908,EVODEX.2-P6921,EVODEX.2-P6926","{""C"": 20, ""H"": 29, ""N"": 3, ""O"": 18, ""P"": 2}"
EVODEX.2-M237,539.20907,"EVODEX.2-P4609,EVODEX.2-P4612,EVODEX.2-P4619,EVODEX.2-P4625,EVODEX.2-P4663","{""C"": 20, ""H"": 29, ""N"": 9, ""O"": 9}"
EVODEX.2-M559,286.22979999999995,"EVODEX.2-P1755,EVODEX.2-P3579","{""C"": 20, ""H"": 30, ""O"": 1}"
EVODEX.2-M238,272.25056,"EVODEX.2-P2330,EVODEX.2-P2331,EVODEX.2-P2332,EVODEX.2-P2333,EVODEX.2-P2334","{""C"": 20, ""H"": 32}"
EVODEX.2-M539,294.29244,"EVODEX.2-P1784,EVODEX.2-P1785,EVODEX.2-P1787","{""C"": 20, ""H"": 38, ""O"": 1}"
EVODEX.2-M525,664.11714,"EVODEX.2-P2896,EVODEX.2-P2898,EVODEX.2-P2900,EVODEX.2-P2901","{""C"": 21, ""H"": 28, ""N"": 7, ""O"": 14, ""P"": 2}"
EVODEX.2-M584,665.12497,EVODEX.2-P2902,"{""C"": 21, ""H"": 29, ""N"": 7, ""O"": 14, ""P"": 2}"
EVODEX.2-M241,749.10492,"EVODEX.2-P3314,EVODEX.2-P6154,EVODEX.2-P6158,EVODEX.2-P6162,EVODEX.2-P6164","{""C"": 21, ""H"": 34, ""N"": 7, ""O"": 15, ""P"": 3, ""S"": 1}"
EVODEX.2-M94,765.0998199999999,"EVODEX.2-P713,EVODEX.2-P725,EVODEX.2-P733,EVODEX.2-P766,EVODEX.2-P767,EVODEX.2-P769,EVODEX.2-P829,EVODEX.2-P833,EVODEX.2-P849,EVODEX.2-P875","{""C"": 21, ""H"": 34, ""N"": 7, ""O"": 16, ""P"": 3, ""S"": 1}"
EVODEX.2-M50,767.1154799999999,"EVODEX.2-P1592,EVODEX.2-P1613,EVODEX.2-P1703,EVODEX.2-P1710,EVODEX.2-P1720,EVODEX.2-P1721,EVODEX.2-P1723,EVODEX.2-P1830,EVODEX.2-P1831,EVODEX.2-P1839","{""C"": 21, ""H"": 36, ""N"": 7, ""O"": 16, ""P"": 3, ""S"": 1}"
EVODEX.2-M242,320.30809999999997,"EVODEX.2-P1676,EVODEX.2-P1752,EVODEX.2-P1794,EVODEX.2-P1795,EVODEX.2-P1796","{""C"": 22, ""H"": 40, ""O"": 1}"
EVODEX.2-M243,485.23893,"EVODEX.2-P4688,EVODEX.2-P4689,EVODEX.2-P4696,EVODEX.2-P4698,EVODEX.2-P4701","{""C"": 23, ""H"": 31, ""N"": 7, ""O"": 5}"
EVODEX.2-M244,503.24949000000004,"EVODEX.2-P4681,EVODEX.2-P4693,EVODEX.2-P4697,EVODEX.2-P4699,EVODEX.2-P4702","{""C"": 23, ""H"": 33, ""N"": 7, ""O"": 6}"
EVODEX.2-M245,809.1260399999999,"EVODEX.2-P1587,EVODEX.2-P1594,EVODEX.2-P1595,EVODEX.2-P1673,EVODEX.2-P1674","{""C"": 23, ""H"": 38, ""N"": 7, ""O"": 17, ""P"": 3, ""S"": 1}"
EVODEX.2-M246,851.1365999999998,"EVODEX.2-P3353,EVODEX.2-P3355,EVODEX.2-P3361,EVODEX.2-P3363,EVODEX.2-P3367","{""C"": 25, ""H"": 40, ""N"": 7, ""O"": 18, ""P"": 3, ""S"": 1}"
EVODEX.2-M247,867.1315,"EVODEX.2-P3317,EVODEX.2-P3335,EVODEX.2-P3339,EVODEX.2-P3343,EVODEX.2-P3344","{""C"": 25, ""H"": 40, ""N"": 7, ""O"": 19, ""P"": 3, ""S"": 1}"
EVODEX.2-M526,879.1315,"EVODEX.2-P3320,EVODEX.2-P3322,EVODEX.2-P3323,EVODEX.2-P3325","{""C"": 26, ""H"": 40, ""N"": 7, ""O"": 19, ""P"": 3, ""S"": 1}"
EVODEX.2-M586,881.14716,EVODEX.2-P3332,"{""C"": 26, ""H"": 42, ""N"": 7, ""O"": 19, ""P"": 3, ""S"": 1}"
EVODEX.2-M248,861.17193,"EVODEX.2-P6344,EVODEX.2-P6350,EVODEX.2-P6354,EVODEX.2-P6362,EVODEX.2-P6370","{""C"": 28, ""H"": 41, ""N"": 5, ""O"": 22, ""P"": 2}"
EVODEX.2-M35,42.01056,"EVODEX.2-P1615,EVODEX.2-P1686,EVODEX.2-P1701,EVODEX.2-P1715,EVODEX.2-P1716,EVODEX.2-P1724,EVODEX.2-P1725,EVODEX.2-P1759,EVODEX.2-P1810,EVODEX.2-P1815,EVODEX.2-P1818,EVODEX.2-P1821,EVODEX.2-P1826,EVODEX.2-P1827,EVODEX.2-P1913,EVODEX.2-P1926,EVODEX.2-P1934,EVODEX.2-P1935,EVODEX.2-P1936,EVODEX.2-P3520,EVODEX.2-P5412","{""C"": 2, ""H"": 2, ""O"": 1}"
EVODEX.2-M249,74.00036,"EVODEX.2-P2452,EVODEX.2-P2457,EVODEX.2-P2491,EVODEX.2-P2730,EVODEX.2-P2733","{""C"": 2, ""H"": 2, ""O"": 3}"
EVODEX.2-M104,57.02149,"EVODEX.2-P1812,EVODEX.2-P1813,EVODEX.2-P1875,EVODEX.2-P3561,EVODEX.2-P6348,EVODEX.2-P6536,EVODEX.2-P6539,EVODEX.2-P6842,EVODEX.2-P6910,EVODEX.2-P6944","{""C"": 2, ""H"": 3, ""N"": 1, ""O"": 1}"
EVODEX.2-M528,44.02622,"EVODEX.2-P1498,EVODEX.2-P5884,EVODEX.2-P5888,EVODEX.2-P5889","{""C"": 2, ""H"": 4, ""O"": 1}"
EVODEX.2-M42,60.021119999999996,"EVODEX.2-P1483,EVODEX.2-P1484,EVODEX.2-P1486,EVODEX.2-P1489,EVODEX.2-P1492,EVODEX.2-P1907,EVODEX.2-P1910,EVODEX.2-P1920,EVODEX.2-P1925,EVODEX.2-P1929,EVODEX.2-P2277,EVODEX.2-P2289,EVODEX.2-P2291,EVODEX.2-P2294,EVODEX.2-P2301","{""C"": 2, ""H"": 4, ""O"": 2}"
EVODEX.2-M52,75.03205,"EVODEX.2-P1503,EVODEX.2-P1504,EVODEX.2-P1505,EVODEX.2-P1506,EVODEX.2-P1543,EVODEX.2-P1545,EVODEX.2-P1662,EVODEX.2-P1770,EVODEX.2-P1771,EVODEX.2-P2705,EVODEX.2-P2717,EVODEX.2-P2720,EVODEX.2-P2724,EVODEX.2-P2727,EVODEX.2-P5911","{""C"": 2, ""H"": 5, ""N"": 1, ""O"": 2}"
EVODEX.2-M561,139.98745,"EVODEX.2-P6136,EVODEX.2-P6138","{""C"": 2, ""H"": 5, ""O"": 5, ""P"": 1}"
EVODEX.2-M250,46.04188,"EVODEX.2-P3546,EVODEX.2-P4882,EVODEX.2-P4964,EVODEX.2-P4965,EVODEX.2-P4967","{""C"": 2, ""H"": 6, ""O"": 1}"
EVODEX.2-M251,532.33386,"EVODEX.2-P2308,EVODEX.2-P2311,EVODEX.2-P2315,EVODEX.2-P2317,EVODEX.2-P2318","{""C"": 31, ""H"": 42, ""N"": 6, ""O"": 2, ""P"": -2, ""S"": 2}"
EVODEX.2-M252,710.27708,"EVODEX.2-P2307,EVODEX.2-P2312,EVODEX.2-P2313,EVODEX.2-P2314,EVODEX.2-P2316","{""C"": 31, ""H"": 46, ""N"": 6, ""O"": 9, ""S"": 2}"
EVODEX.2-M253,1096.1681399999998,"EVODEX.2-P6097,EVODEX.2-P6148,EVODEX.2-P6149,EVODEX.2-P6160,EVODEX.2-P6218","{""C"": 31, ""H"": 48, ""N"": 12, ""O"": 22, ""P"": 4, ""S"": 1}"
EVODEX.2-M254,1176.1344699999997,"EVODEX.2-P6108,EVODEX.2-P6132,EVODEX.2-P6206,EVODEX.2-P6211,EVODEX.2-P6224","{""C"": 31, ""H"": 49, ""N"": 12, ""O"": 25, ""P"": 5, ""S"": 1}"
EVODEX.2-M255,1192.1293699999999,"EVODEX.2-P6090,EVODEX.2-P6173,EVODEX.2-P6175,EVODEX.2-P6176,EVODEX.2-P6183","{""C"": 31, ""H"": 49, ""N"": 12, ""O"": 26, ""P"": 5, ""S"": 1}"
EVODEX.2-M256,86.00036,"EVODEX.2-P1527,EVODEX.2-P1528,EVODEX.2-P1609,EVODEX.2-P1610,EVODEX.2-P1679","{""C"": 3, ""H"": 2, ""O"": 3}"
