,all_time_peak,last_30_day_avg,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
52,2568,744.21,12096.0,Resident Evil 5,PC,2009.0,Action,Capcom,0.01,0.04,0.0,0.01,0.07
53,23042,688.31,,,,,,,,,,,
54,410,52.67,408.0,Max Payne,PS2,2001.0,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31
55,410,52.67,408.0,Max Payne,PS2,2001.0,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31
56,410,52.67,408.0,Max Payne,PS2,2001.0,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31
57,410,52.67,1648.0,Max Payne,XB,2001.0,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22
58,410,52.67,1648.0,Max Payne,XB,2001.0,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22
59,410,52.67,1648.0,Max Payne,XB,2001.0,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22
60,410,52.67,14714.0,Max Payne,GBA,2003.0,Shooter,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03
61,410,52.67,14714.0,Max Payne,GBA,2003.0,Shooter,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03
62,410,52.67,14714.0,Max Payne,GBA,2003.0,Shooter,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03
63,410,52.67,15142.0,Max Payne,PC,2001.0,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.02
64,410,52.67,15142.0,Max Payne,PC,2001.0,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.02
65,410,52.67,15142.0,Max Payne,PC,2001.0,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.02
66,11,0.42,,,,,,,,,,,
67,3541,203.2,418.0,L.A. Noire,PS3,2011.0,Adventure,Take-Two Interactive,1.27,1.33,0.12,0.51,3.23
68,3541,203.2,550.0,L.A. Noire,X360,2011.0,Adventure,Take-Two Interactive,1.52,0.94,0.02,0.24,2.72
69,823,31.43,423.0,Killer Instinct,SNES,1995.0,Fighting,Nintendo,2.26,0.72,0.12,0.1,3.2
70,44890,4648.88,290.0,Fallout: New Vegas,X360,2010.0,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08
71,44890,4648.88,290.0,Fallout: New Vegas,X360,2010.0,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08
72,44890,4648.88,431.0,Fallout: New Vegas,PS3,2010.0,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17
73,44890,4648.88,431.0,Fallout: New Vegas,PS3,2010.0,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17
74,44890,4648.88,1743.0,Fallout: New Vegas,PC,2010.0,Role-Playing,Bethesda Softworks,0.58,0.45,0.0,0.14,1.16
75,44890,4648.88,1743.0,Fallout: New Vegas,PC,2010.0,Role-Playing,Bethesda Softworks,0.58,0.45,0.0,0.14,1.16
76,3897,481.73,,,,,,,,,,,
77,11836,738.31,439.0,Resident Evil 6,PS3,2012.0,Shooter,Capcom,0.88,0.97,0.88,0.42,3.15
78,11836,738.31,859.0,Resident Evil 6,X360,2012.0,Shooter,Capcom,1.11,0.63,0.07,0.16,1.98
79,11836,738.31,12135.0,Resident Evil 6,PS4,2016.0,Shooter,Capcom,0.05,0.0,0.0,0.01,0.07
80,11836,738.31,13501.0,Resident Evil 6,PC,2012.0,Shooter,Capcom,0.0,0.04,0.0,0.01,0.04
81,11836,738.31,13952.0,Resident Evil 6,XOne,2016.0,Shooter,Capcom,0.03,0.0,0.0,0.0,0.04
82,93305,5451.08,440.0,Halo: The Master Chief Collection,XOne,2014.0,Shooter,Microsoft Game Studios,1.89,0.99,0.03,0.24,3.15
83,2643,158.7,448.0,Heavy Rain,PS3,2010.0,Adventure,Sony Computer Entertainment,1.29,1.27,0.06,0.5,3.12
84,123596,2175.35,454.0,Borderlands 2,X360,2012.0,Shooter,Take-Two Interactive,1.89,0.91,0.04,0.24,3.07
85,123596,2175.35,705.0,Borderlands 2,PS3,2012.0,Shooter,Take-Two Interactive,1.05,0.77,0.1,0.36,2.28
86,123596,2175.35,2226.0,Borderlands 2,PC,2012.0,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.93
87,123596,2175.35,2488.0,Borderlands 2,PSV,2014.0,Shooter,Take-Two Interactive,0.43,0.21,0.01,0.19,0.83
88,23042,688.31,,,,,,,,,,,
89,6444,109.63,462.0,Saints Row 2,X360,2008.0,Action,THQ,1.94,0.8,0.02,0.27,3.03
90,6444,109.63,1061.0,Saints Row 2,PS3,2008.0,Action,THQ,0.88,0.54,0.02,0.25,1.69
91,6444,109.63,13906.0,Saints Row 2,PC,2009.0,Action,THQ,0.0,0.03,0.0,0.01,0.04
92,509,21.93,483.0,Hitman 2: Silent Assassin,PS2,2002.0,Action,Eidos Interactive,1.36,1.15,0.04,0.41,2.96
93,509,21.93,1699.0,Hitman 2: Silent Assassin,XB,,Action,Eidos Interactive,0.76,0.38,0.0,0.05,1.19
94,509,21.93,9503.0,Hitman 2: Silent Assassin,GC,2003.0,Action,Eidos Interactive,0.1,0.03,0.0,0.0,0.13
95,472,34.01,522.0,Myst,PC,1994.0,Adventure,Red Orb,0.02,2.79,0.0,0.0,2.81
96,472,34.01,10498.0,Myst,DS,2007.0,Adventure,Midway Games,0.09,0.0,0.0,0.01,0.1
97,472,34.01,11742.0,Myst,PS,1995.0,Adventure,Psygnosis,0.0,0.0,0.07,0.0,0.07
98,472,34.01,12763.0,Myst,SAT,1994.0,Adventure,Sunsoft,0.0,0.0,0.06,0.0,0.06
99,472,34.01,15944.0,Myst,PSP,2006.0,Adventure,Midway Games,0.0,0.01,0.0,0.0,0.02
100,34254,206.45,544.0,Saints Row: The Third,X360,2011.0,Action,THQ,1.25,1.15,0.07,0.3,2.77
101,34254,206.45,617.0,Saints Row: The Third,PS3,2011.0,Action,THQ,0.86,1.06,0.18,0.39,2.49
102,34254,206.45,5059.0,Saints Row: The Third,PC,2011.0,Action,THQ,0.16,0.16,0.0,0.06,0.38
103,3541,203.2,418.0,L.A. Noire,PS3,2011.0,Adventure,Take-Two Interactive,1.27,1.33,0.12,0.51,3.23
104,3541,203.2,550.0,L.A. Noire,X360,2011.0,Adventure,Take-Two Interactive,1.52,0.94,0.02,0.24,2.72
105,517,14.52,553.0,Onimusha: Warlords,PS2,2001.0,Action,Virgin Interactive,0.99,0.48,1.09,0.14,2.7
106,13649,498.3,554.0,Mortal Kombat X,PS4,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.47,0.76,0.0,0.47,2.7
107,13649,498.3,1446.0,Mortal Kombat X,XOne,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.0,0.21,0.0,0.13,1.35
108,13649,498.3,13025.0,Mortal Kombat X,PC,2015.0,Fighting,Warner Bros. Interactive Entertainment,0.01,0.04,0.0,0.0,0.05
109,34254,206.45,544.0,Saints Row: The Third,X360,2011.0,Action,THQ,1.25,1.15,0.07,0.3,2.77
110,34254,206.45,617.0,Saints Row: The Third,PS3,2011.0,Action,THQ,0.86,1.06,0.18,0.39,2.49
111,34254,206.45,5059.0,Saints Row: The Third,PC,2011.0,Action,THQ,0.16,0.16,0.0,0.06,0.38
112,64085,2010.19,667.0,Half-Life 2,PC,2004.0,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37
113,64085,2010.19,3310.0,Half-Life 2,XB,2005.0,Shooter,Electronic Arts,0.37,0.21,0.0,0.03,0.61
114,10846,6122.31,693.0,Guild Wars 2,PC,2012.0,Action,NCSoft,0.95,1.06,0.0,0.29,2.3
115,123596,2175.35,454.0,Borderlands 2,X360,2012.0,Shooter,Take-Two Interactive,1.89,0.91,0.04,0.24,3.07
116,123596,2175.35,705.0,Borderlands 2,PS3,2012.0,Shooter,Take-Two Interactive,1.05,0.77,0.1,0.36,2.28
117,123596,2175.35,2226.0,Borderlands 2,PC,2012.0,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.93
118,123596,2175.35,2488.0,Borderlands 2,PSV,2014.0,Shooter,Take-Two Interactive,0.43,0.21,0.01,0.19,0.83
119,2975,160.81,743.0,Saints Row,X360,2006.0,Action,THQ,1.17,0.78,0.02,0.22,2.19
120,193,31.75,765.0,Mahjong,NES,1983.0,Misc,Nintendo,0.01,0.0,2.13,0.0,2.14
121,14984,1465.99,791.0,Portal 2,X360,2011.0,Shooter,Valve Software,1.41,0.51,0.01,0.17,2.1
122,14984,1465.99,1018.0,Portal 2,PS3,2011.0,Shooter,Valve,0.83,0.63,0.02,0.25,1.74
123,14984,1465.99,2701.0,Portal 2,PC,2011.0,Shooter,Valve Software,0.33,0.32,0.0,0.11,0.76
124,11836,738.31,439.0,Resident Evil 6,PS3,2012.0,Shooter,Capcom,0.88,0.97,0.88,0.42,3.15
125,11836,738.31,859.0,Resident Evil 6,X360,2012.0,Shooter,Capcom,1.11,0.63,0.07,0.16,1.98
126,11836,738.31,12135.0,Resident Evil 6,PS4,2016.0,Shooter,Capcom,0.05,0.0,0.0,0.01,0.07
127,11836,738.31,13501.0,Resident Evil 6,PC,2012.0,Shooter,Capcom,0.0,0.04,0.0,0.01,0.04
128,11836,738.31,13952.0,Resident Evil 6,XOne,2016.0,Shooter,Capcom,0.03,0.0,0.0,0.0,0.04
129,4725,370.36,99.0,Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37
130,4725,370.36,167.0,Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2.72,1.87,0.0,0.84,5.43
131,4725,370.36,863.0,Call of Duty: World at War,Wii,2008.0,Shooter,Activision,1.2,0.59,0.0,0.19,1.97
132,4725,370.36,2290.0,Call of Duty: World at War,DS,2008.0,Shooter,Activision,0.57,0.26,0.0,0.08,0.91
133,4725,370.36,7951.0,Call of Duty: World at War,PC,2008.0,Shooter,Activision,0.02,0.13,0.0,0.03,0.19
134,65198,279.8,867.0,BioShock Infinite,X360,2013.0,Shooter,Take-Two Interactive,1.22,0.57,0.02,0.15,1.96
135,65198,279.8,998.0,BioShock Infinite,PS3,2013.0,Shooter,Take-Two Interactive,0.72,0.69,0.04,0.31,1.76
136,65198,279.8,3036.0,BioShock Infinite,PC,2013.0,Shooter,Take-Two Interactive,0.28,0.3,0.0,0.08,0.67
137,5582,243.8,910.0,Max Payne 3,PS3,2012.0,Shooter,Take-Two Interactive,0.59,0.92,0.06,0.32,1.9
138,5582,243.8,1103.0,Max Payne 3,X360,2012.0,Shooter,Take-Two Interactive,0.86,0.64,0.01,0.14,1.66
139,5582,243.8,4535.0,Max Payne 3,PC,2012.0,Shooter,Take-Two Interactive,0.15,0.22,0.0,0.06,0.43
140,888,20.41,929.0,Turok 2: Seeds of Evil,N64,1997.0,Platform,Acclaim Entertainment,1.37,0.41,0.04,0.04,1.86
141,2,0.0,940.0,Pinball,NES,1984.0,Action,Nintendo,0.8,0.19,0.83,0.03,1.85
142,2,0.0,940.0,Pinball,NES,1984.0,Action,Nintendo,0.8,0.19,0.83,0.03,1.85
143,3234,16.57,950.0,Secret of Mana,SNES,1993.0,Role-Playing,SquareSoft,0.25,0.07,1.49,0.02,1.83
144,4089,185.01,959.0,The Evil Within,PS4,2014.0,Action,Bethesda Softworks,0.55,0.84,0.11,0.31,1.81
145,4089,185.01,2267.0,The Evil Within,PS3,2014.0,Action,Bethesda Softworks,0.26,0.39,0.12,0.14,0.92
146,4089,185.01,3100.0,The Evil Within,XOne,2014.0,Action,Bethesda Softworks,0.35,0.25,0.0,0.05,0.65
147,4089,185.01,4014.0,The Evil Within,X360,2014.0,Action,Bethesda Softworks,0.25,0.2,0.01,0.04,0.5
148,4089,185.01,6300.0,The Evil Within,PC,2014.0,Action,Bethesda Softworks,0.09,0.16,0.0,0.02,0.27
149,3306,264.42,971.0,Beyond: Two Souls,PS3,2013.0,Adventure,Sony Computer Entertainment,0.52,0.88,0.06,0.34,1.79
150,7493,119.84,978.0,Just Cause 2,PS3,2010.0,Action,Square Enix,0.45,0.94,0.06,0.33,1.78
151,7493,119.84,1134.0,Just Cause 2,X360,2010.0,Action,Square Enix,0.59,0.85,0.02,0.17,1.62
152,7493,119.84,9549.0,Just Cause 2,PC,2010.0,Action,Square Enix,0.0,0.1,0.0,0.03,0.13
153,65198,279.8,867.0,BioShock Infinite,X360,2013.0,Shooter,Take-Two Interactive,1.22,0.57,0.02,0.15,1.96
154,65198,279.8,998.0,BioShock Infinite,PS3,2013.0,Shooter,Take-Two Interactive,0.72,0.69,0.04,0.31,1.76
155,65198,279.8,3036.0,BioShock Infinite,PC,2013.0,Shooter,Take-Two Interactive,0.28,0.3,0.0,0.08,0.67
156,14984,1465.99,791.0,Portal 2,X360,2011.0,Shooter,Valve Software,1.41,0.51,0.01,0.17,2.1
157,14984,1465.99,1018.0,Portal 2,PS3,2011.0,Shooter,Valve,0.83,0.63,0.02,0.25,1.74
158,14984,1465.99,2701.0,Portal 2,PC,2011.0,Shooter,Valve Software,0.33,0.32,0.0,0.11,0.76
159,19930,421.12,1033.0,Dishonored,X360,2012.0,Action,Bethesda Softworks,1.06,0.52,0.01,0.14,1.73
160,19930,421.12,1033.0,Dishonored,X360,2012.0,Action,Bethesda Softworks,1.06,0.52,0.01,0.14,1.73
161,19930,421.12,1197.0,Dishonored,PS3,2012.0,Action,Bethesda Softworks,0.72,0.54,0.04,0.25,1.55
162,19930,421.12,1197.0,Dishonored,PS3,2012.0,Action,Bethesda Softworks,0.72,0.54,0.04,0.25,1.55
163,19930,421.12,3938.0,Dishonored,PC,2012.0,Action,Bethesda Softworks,0.26,0.19,0.0,0.06,0.51
164,19930,421.12,3938.0,Dishonored,PC,2012.0,Action,Bethesda Softworks,0.26,0.19,0.0,0.06,0.51
165,19930,421.12,5141.0,Dishonored,PS4,2015.0,Action,Bethesda Softworks,0.11,0.18,0.02,0.06,0.37
166,19930,421.12,5141.0,Dishonored,PS4,2015.0,Action,Bethesda Softworks,0.11,0.18,0.02,0.06,0.37
167,19930,421.12,9034.0,Dishonored,XOne,2015.0,Action,Bethesda Softworks,0.08,0.05,0.0,0.01,0.14
168,19930,421.12,9034.0,Dishonored,XOne,2015.0,Action,Bethesda Softworks,0.08,0.05,0.0,0.01,0.14
169,4578,90.94,,,,,,,,,,,
170,6444,109.63,462.0,Saints Row 2,X360,2008.0,Action,THQ,1.94,0.8,0.02,0.27,3.03
171,6444,109.63,1061.0,Saints Row 2,PS3,2008.0,Action,THQ,0.88,0.54,0.02,0.25,1.69
172,6444,109.63,13906.0,Saints Row 2,PC,2009.0,Action,THQ,0.0,0.03,0.0,0.01,0.04
173,45770,5456.88,1099.0,Dying Light,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.63,0.66,0.11,0.26,1.66
174,45770,5456.88,2556.0,Dying Light,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.43,0.3,0.01,0.07,0.81
175,45770,5456.88,8077.0,Dying Light,PC,2015.0,Action,Warner Bros. Interactive Entertainment,0.11,0.06,0.0,0.02,0.18
176,5582,243.8,910.0,Max Payne 3,PS3,2012.0,Shooter,Take-Two Interactive,0.59,0.92,0.06,0.32,1.9
177,5582,243.8,1103.0,Max Payne 3,X360,2012.0,Shooter,Take-Two Interactive,0.86,0.64,0.01,0.14,1.66
178,5582,243.8,4535.0,Max Payne 3,PC,2012.0,Shooter,Take-Two Interactive,0.15,0.22,0.0,0.06,0.43
179,7493,119.84,978.0,Just Cause 2,PS3,2010.0,Action,Square Enix,0.45,0.94,0.06,0.33,1.78
180,7493,119.84,1134.0,Just Cause 2,X360,2010.0,Action,Square Enix,0.59,0.85,0.02,0.17,1.62
181,7493,119.84,9549.0,Just Cause 2,PC,2010.0,Action,Square Enix,0.0,0.1,0.0,0.03,0.13
182,212321,16204.76,1158.0,No Man's Sky,PS4,2016.0,Action,Hello Games,0.58,0.74,0.02,0.26,1.6
183,11808,425.51,1170.0,Wolfenstein: The New Order,PS4,2014.0,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.29,1.58
184,11808,425.51,1170.0,Wolfenstein: The New Order,PS4,2014.0,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.29,1.58
185,11808,425.51,3020.0,Wolfenstein: The New Order,XOne,2014.0,Shooter,Bethesda Softworks,0.33,0.28,0.0,0.06,0.67
186,11808,425.51,3020.0,Wolfenstein: The New Order,XOne,2014.0,Shooter,Bethesda Softworks,0.33,0.28,0.0,0.06,0.67
187,11808,425.51,3945.0,Wolfenstein: The New Order,PS3,2014.0,Shooter,Bethesda Softworks,0.14,0.25,0.02,0.09,0.51
188,11808,425.51,3945.0,Wolfenstein: The New Order,PS3,2014.0,Shooter,Bethesda Softworks,0.14,0.25,0.02,0.09,0.51
189,11808,425.51,4246.0,Wolfenstein: The New Order,PC,2014.0,Shooter,Bethesda Softworks,0.12,0.29,0.0,0.05,0.46
190,11808,425.51,4246.0,Wolfenstein: The New Order,PC,2014.0,Shooter,Bethesda Softworks,0.12,0.29,0.0,0.05,0.46
191,11808,425.51,4704.0,Wolfenstein: The New Order,X360,2014.0,Shooter,Bethesda Softworks,0.18,0.19,0.0,0.04,0.41
192,11808,425.51,4704.0,Wolfenstein: The New Order,X360,2014.0,Shooter,Bethesda Softworks,0.18,0.19,0.0,0.04,0.41
193,2775,21.07,,,,,,,,,,,
194,19930,421.12,1033.0,Dishonored,X360,2012.0,Action,Bethesda Softworks,1.06,0.52,0.01,0.14,1.73
195,19930,421.12,1033.0,Dishonored,X360,2012.0,Action,Bethesda Softworks,1.06,0.52,0.01,0.14,1.73
196,19930,421.12,1197.0,Dishonored,PS3,2012.0,Action,Bethesda Softworks,0.72,0.54,0.04,0.25,1.55
197,19930,421.12,1197.0,Dishonored,PS3,2012.0,Action,Bethesda Softworks,0.72,0.54,0.04,0.25,1.55
198,19930,421.12,3938.0,Dishonored,PC,2012.0,Action,Bethesda Softworks,0.26,0.19,0.0,0.06,0.51
199,19930,421.12,3938.0,Dishonored,PC,2012.0,Action,Bethesda Softworks,0.26,0.19,0.0,0.06,0.51
200,19930,421.12,5141.0,Dishonored,PS4,2015.0,Action,Bethesda Softworks,0.11,0.18,0.02,0.06,0.37
201,19930,421.12,5141.0,Dishonored,PS4,2015.0,Action,Bethesda Softworks,0.11,0.18,0.02,0.06,0.37
202,19930,421.12,9034.0,Dishonored,XOne,2015.0,Action,Bethesda Softworks,0.08,0.05,0.0,0.01,0.14
203,19930,421.12,9034.0,Dishonored,XOne,2015.0,Action,Bethesda Softworks,0.08,0.05,0.0,0.01,0.14
204,4578,90.94,,,,,,,,,,,
205,6912,11.36,1306.0,Homefront,X360,2011.0,Shooter,THQ,0.83,0.48,0.02,0.12,1.46
206,6912,11.36,2275.0,Homefront,PS3,2011.0,Shooter,THQ,0.32,0.4,0.04,0.15,0.91
207,6912,11.36,6796.0,Homefront,PC,2011.0,Shooter,THQ,0.11,0.1,0.0,0.03,0.24
208,188,5.25,,,,,,,,,,,
209,2740,195.02,1433.0,Ryse: Son of Rome,XOne,2013.0,Action,Microsoft Game Studios,0.82,0.42,0.0,0.11,1.36
210,6612,257.65,1444.0,Alan Wake,X360,2010.0,Action,Microsoft Game Studios,0.66,0.51,0.05,0.13,1.35
211,6612,257.65,12110.0,Alan Wake,PC,2012.0,Action,Nordic Games,0.0,0.06,0.0,0.01,0.07
212,13649,498.3,554.0,Mortal Kombat X,PS4,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.47,0.76,0.0,0.47,2.7
213,13649,498.3,1446.0,Mortal Kombat X,XOne,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.0,0.21,0.0,0.13,1.35
214,13649,498.3,13025.0,Mortal Kombat X,PC,2015.0,Fighting,Warner Bros. Interactive Entertainment,0.01,0.04,0.0,0.0,0.05
215,315,64.92,1464.0,Max Payne 2: The Fall of Max Payne,PS2,2003.0,Shooter,Take-Two Interactive,0.65,0.51,0.0,0.17,1.34
216,315,64.92,3144.0,Max Payne 2: The Fall of Max Payne,XB,2003.0,Shooter,Take-Two Interactive,0.47,0.15,0.0,0.02,0.64
217,315,64.92,14725.0,Max Payne 2: The Fall of Max Payne,PC,2003.0,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03
218,130,33.66,1549.0,Manhunt,PS2,2003.0,Action,Take-Two Interactive,0.63,0.49,0.0,0.16,1.28
219,130,33.66,7774.0,Manhunt,XB,2004.0,Action,Take-Two Interactive,0.14,0.04,0.0,0.01,0.19
220,413,26.48,1552.0,Tomb Raider: Underworld,PS3,2008.0,Action,Eidos Interactive,0.45,0.56,0.05,0.22,1.27
221,413,26.48,1908.0,Tomb Raider: Underworld,X360,2008.0,Action,Eidos Interactive,0.53,0.43,0.01,0.11,1.08
222,413,26.48,4135.0,Tomb Raider: Underworld,Wii,2008.0,Action,Eidos Interactive,0.14,0.28,0.0,0.06,0.48
