source;target;kind;labels;default;labor_cost;max_duration;min_duration;most_likely_duration;risk
Identify affected organizations and roles;Review / update preliminary design plan;process;default;1;;2;1;1.5;
Collect and assign technical requirements;Review / update preliminary design plan;process;default;1;;2;1;1.5;
Assign project milestones and budgets;Review / update preliminary design plan;process;default;1;;2;1;1.5;
Integrate and review preliminary tss designs and plans;Review / update preliminary design plan;process;default;1;;2;1;1.5;
Review / update preliminary design plan;Review / update detail design plan;process;default;1;;2;1;1.5;
Integrate and review detail tss designs and plans;Review / update detail design plan;process;default;1;;2;1;1.5;
Review / update detail design plan;Review / update build & test plan;process;default;1;;2;1;1.5;
Develop detail manufacturing plan;Review / update build & test plan;process;default;1;;2;1;1.5;
Develop detail testing plan;Review / update build & test plan;process;default;1;;2;1;1.5;
Assemble & test tss steering systems;Stop tss steering system project;process;default;1;;0;0;0.0;
Collect and assign technical requirements;Develop preliminary hydraulic designs;process;default;1;;5;3;4.0;
Review / update preliminary design plan;Develop preliminary hydraulic designs;process;default;1;;5;3;4.0;
Integrate and review preliminary tss designs and plans;Develop preliminary hydraulic designs;process;default;1;;5;3;4.0;
Collect and assign technical requirements;Develop preliminary electrical designs;process;default;1;;5;3;4.0;
Review / update preliminary design plan;Develop preliminary electrical designs;process;default;1;;5;3;4.0;
Integrate and review preliminary tss designs and plans;Develop preliminary electrical designs;process;default;1;;5;3;4.0;
Collect and assign technical requirements;Develop preliminary mechanical designs;process;default;1;;5;3;4.0;
Review / update preliminary design plan;Develop preliminary mechanical designs;process;default;1;;5;3;4.0;
Integrate and review preliminary tss designs and plans;Develop preliminary mechanical designs;process;default;1;;5;3;4.0;
Collect and assign technical requirements;Develop preliminary software designs;process;default;1;;5;3;4.0;
Review / update preliminary design plan;Develop preliminary software designs;process;default;1;;5;3;4.0;
Integrate and review preliminary tss designs and plans;Develop preliminary software designs;process;default;1;;5;3;4.0;
Collect and assign technical requirements;Develop preliminary platform integration designs;process;default;1;;3;2;2.5;
Review / update preliminary design plan;Develop preliminary platform integration designs;process;default;1;;3;2;2.5;
Integrate and review preliminary tss designs and plans;Develop preliminary platform integration designs;process;default;1;;3;2;2.5;
Collect and assign technical requirements;Develop preliminary manufacturing plan;process;default;1;;2;1;1.5;
Review / update preliminary design plan;Develop preliminary manufacturing plan;process;default;1;;2;1;1.5;
Integrate and review preliminary tss designs and plans;Develop preliminary manufacturing plan;process;default;1;;2;1;1.5;
Collect and assign technical requirements;Develop preliminary testing plan;process;default;1;;2;1;1.5;
Review / update preliminary design plan;Develop preliminary testing plan;process;default;1;;2;1;1.5;
Integrate and review preliminary tss designs and plans;Develop preliminary testing plan;process;default;1;;2;1;1.5;
Collect and assign technical requirements;Integrate and review preliminary tss designs and plans;process;default;1;;3;2;2.5;
Review / update preliminary design plan;Integrate and review preliminary tss designs and plans;process;default;1;;3;2;2.5;
Develop preliminary hydraulic designs;Integrate and review preliminary tss designs and plans;process;default;1;;3;2;2.5;
Develop preliminary electrical designs;Integrate and review preliminary tss designs and plans;process;default;1;;3;2;2.5;
Develop preliminary mechanical designs;Integrate and review preliminary tss designs and plans;process;default;1;;3;2;2.5;
Develop preliminary software designs;Integrate and review preliminary tss designs and plans;process;default;1;;3;2;2.5;
Develop preliminary platform integration designs;Integrate and review preliminary tss designs and plans;process;default;1;;3;2;2.5;
Develop preliminary manufacturing plan;Integrate and review preliminary tss designs and plans;process;default;1;;3;2;2.5;
Develop preliminary testing plan;Integrate and review preliminary tss designs and plans;process;default;1;;3;2;2.5;
Review / update detail design plan;Develop detail hydraulic designs;process;default;1;;7;5;6.0;
Integrate and review preliminary tss designs and plans;Develop detail hydraulic designs;process;default;1;;7;5;6.0;
Integrate and review detail tss designs and plans;Develop detail hydraulic designs;process;default;1;;7;5;6.0;
Review / update detail design plan;Develop detail electrical designs;process;default;1;;7;5;6.0;
Integrate and review preliminary tss designs and plans;Develop detail electrical designs;process;default;1;;7;5;6.0;
Integrate and review detail tss designs and plans;Develop detail electrical designs;process;default;1;;7;5;6.0;
Review / update detail design plan;Develop detail mechanical designs;process;default;1;;7;5;6.0;
Integrate and review preliminary tss designs and plans;Develop detail mechanical designs;process;default;1;;7;5;6.0;
Integrate and review detail tss designs and plans;Develop detail mechanical designs;process;default;1;;7;5;6.0;
Review / update detail design plan;Develop detail software designs;process;default;1;;5;3;4.0;
Integrate and review preliminary tss designs and plans;Develop detail software designs;process;default;1;;5;3;4.0;
Integrate and review detail tss designs and plans;Develop detail software designs;process;default;1;;5;3;4.0;
Review / update detail design plan;Develop detail platform integration designs;process;default;1;;7;5;6.0;
Integrate and review preliminary tss designs and plans;Develop detail platform integration designs;process;default;1;;7;5;6.0;
Integrate and review detail tss designs and plans;Develop detail platform integration designs;process;default;1;;7;5;6.0;
Review / update detail design plan;Develop detail manufacturing plan;process;default;1;;6;4;5.0;
Integrate and review preliminary tss designs and plans;Develop detail manufacturing plan;process;default;1;;6;4;5.0;
Integrate and review detail tss designs and plans;Develop detail manufacturing plan;process;default;1;;6;4;5.0;
Review / update detail design plan;Develop detail testing plan;process;default;1;;4;3;3.5;
Integrate and review preliminary tss designs and plans;Develop detail testing plan;process;default;1;;4;3;3.5;
Integrate and review detail tss designs and plans;Develop detail testing plan;process;default;1;;4;3;3.5;
Review / update detail design plan;Integrate and review detail tss designs and plans;process;default;1;;5;3;4.0;
Develop detail hydraulic designs;Integrate and review detail tss designs and plans;process;default;1;;5;3;4.0;
Develop detail electrical designs;Integrate and review detail tss designs and plans;process;default;1;;5;3;4.0;
Develop detail mechanical designs;Integrate and review detail tss designs and plans;process;default;1;;5;3;4.0;
Develop detail software designs;Integrate and review detail tss designs and plans;process;default;1;;5;3;4.0;
Develop detail platform integration designs;Integrate and review detail tss designs and plans;process;default;1;;5;3;4.0;
Develop detail manufacturing plan;Integrate and review detail tss designs and plans;process;default;1;;5;3;4.0;
Develop detail testing plan;Integrate and review detail tss designs and plans;process;default;1;;5;3;4.0;
Review / update build & test plan;Build tss steering components;process;default;1;;14;10;12.0;
Integrate and review detail tss designs and plans;Build tss steering components;process;default;1;;14;10;12.0;
Review / update build & test plan;Test tss steering components;process;default;1;;5;3;4.0;
Build tss steering components;Test tss steering components;process;default;1;;5;3;4.0;
Review / update build & test plan;Assemble & test tss steering systems;process;default;1;;7;5;6.0;
Integrate and review detail tss designs and plans;Assemble & test tss steering systems;process;default;1;;7;5;6.0;
Build tss steering components;Assemble & test tss steering systems;process;default;1;;7;5;6.0;
Test tss steering components;Assemble & test tss steering systems;process;default;1;;7;5;6.0;
Systems engineer;Team leader;people;information;1;3;;;;
Team leader;Systems engineer;people;information;1;3;;;;
Systems engineer;Hydraulics engineer;people;information;1;3;;;;
Mechanical engineer;Hydraulics engineer;people;information;1;3;;;;
Test engineer;Hydraulics engineer;people;information;1;3;;;;
Systems engineer;Electrical engineer;people;information;1;3;;;;
Software engineer;Electrical engineer;people;information;1;3;;;;
Test engineer;Electrical engineer;people;information;1;3;;;;
Systems engineer;Mechanical engineer;people;information;1;3;;;;
Hydraulics engineer;Mechanical engineer;people;information;1;3;;;;
Platform integration engineer;Mechanical engineer;people;information;1;3;;;;
Manufacturing engineer;Mechanical engineer;people;information;1;3;;;;
Test engineer;Mechanical engineer;people;information;1;3;;;;
Systems engineer;Software engineer;people;information;1;3;;;;
Electrical engineer;Software engineer;people;information;1;3;;;;
Systems engineer;Platform integration engineer;people;information;1;4;;;;
Mechanical engineer;Platform integration engineer;people;information;1;4;;;;
Systems engineer;Manufacturing engineer;people;information;1;2;;;;
Mechanical engineer;Manufacturing engineer;people;information;1;2;;;;
Manufacturer;Manufacturing engineer;people;information;1;2;;;;
Systems engineer;Test engineer;people;information;1;3;;;;
Hydraulics engineer;Test engineer;people;information;1;3;;;;
Electrical engineer;Test engineer;people;information;1;3;;;;
Mechanical engineer;Test engineer;people;information;1;3;;;;
Software engineer;Test engineer;people;information;1;3;;;;
Team leader;Manufacturer;people;information;1;5;;;;
Manufacturing engineer;Manufacturer;people;information;1;5;;;;
Wheel front axle;Develop preliminary mechanical designs;mapping;predecessor activity;1;;;;;
Develop preliminary mechanical designs;Wheel front axle;mapping;predecessor activity;1;;;;;
Hub front axle;Develop preliminary mechanical designs;mapping;predecessor activity;1;;;;;
Develop preliminary mechanical designs;Hub front axle;mapping;predecessor activity;1;;;;;
Steering knuckle front axle;Develop preliminary mechanical designs;mapping;predecessor activity;1;;;;;
Develop preliminary mechanical designs;Steering knuckle front axle;mapping;predecessor activity;1;;;;;
Knuckle arm front axle;Develop preliminary mechanical designs;mapping;predecessor activity;1;;;;;
Develop preliminary mechanical designs;Knuckle arm front axle;mapping;predecessor activity;1;;;;;
Frame front axle;Develop preliminary mechanical designs;mapping;predecessor activity;1;;;;;
Develop preliminary mechanical designs;Frame front axle;mapping;predecessor activity;1;;;;;
Angle sensor front axle;Develop preliminary mechanical designs;mapping;predecessor activity;1;;;;;
Develop preliminary mechanical designs;Angle sensor front axle;mapping;predecessor activity;1;;;;;
Steering actuation cylinder front axle;Develop preliminary mechanical designs;mapping;predecessor activity;1;;;;;
Develop preliminary mechanical designs;Steering actuation cylinder front axle;mapping;predecessor activity;1;;;;;
Tie rod front axle;Develop preliminary mechanical designs;mapping;predecessor activity;1;;;;;
Develop preliminary mechanical designs;Tie rod front axle;mapping;predecessor activity;1;;;;;
Steering actuation cylinder front axle;Develop preliminary hydraulic designs;mapping;predecessor activity;1;;;;;
Develop preliminary hydraulic designs;Steering actuation cylinder front axle;mapping;predecessor activity;1;;;;;
Knuckle arm front axle;Develop preliminary hydraulic designs;mapping;predecessor activity;1;;;;;
Develop preliminary hydraulic designs;Knuckle arm front axle;mapping;predecessor activity;1;;;;;
Servo valve front axle;Develop preliminary hydraulic designs;mapping;predecessor activity;1;;;;;
Develop preliminary hydraulic designs;Servo valve front axle;mapping;predecessor activity;1;;;;;
Angle sensor front axle;Develop preliminary software designs;mapping;predecessor activity;1;;;;;
Develop preliminary software designs;Angle sensor front axle;mapping;predecessor activity;1;;;;;
Steering knuckle front axle;Develop preliminary software designs;mapping;predecessor activity;1;;;;;
Develop preliminary software designs;Steering knuckle front axle;mapping;predecessor activity;1;;;;;
Ecu;Develop preliminary software designs;mapping;predecessor activity;1;;;;;
Develop preliminary software designs;Ecu;mapping;predecessor activity;1;;;;;
Filter front axle;Develop preliminary hydraulic designs;mapping;predecessor activity;1;;;;;
Develop preliminary hydraulic designs;Filter front axle;mapping;predecessor activity;1;;;;;
Engine;Develop preliminary electrical designs;mapping;predecessor activity;1;;;;;
Develop preliminary electrical designs;Engine;mapping;predecessor activity;1;;;;;
Ecu;Develop preliminary electrical designs;mapping;predecessor activity;1;;;;;
Develop preliminary electrical designs;Ecu;mapping;predecessor activity;1;;;;;
Speedometer;Develop preliminary software designs;mapping;predecessor activity;1;;;;;
Develop preliminary software designs;Speedometer;mapping;predecessor activity;1;;;;;
Servo valve front axle;Develop preliminary electrical designs;mapping;predecessor activity;1;;;;;
Develop preliminary electrical designs;Servo valve front axle;mapping;predecessor activity;1;;;;;
Hydraulic oil reservoir;Develop preliminary hydraulic designs;mapping;predecessor activity;1;;;;;
Develop preliminary hydraulic designs;Hydraulic oil reservoir;mapping;predecessor activity;1;;;;;
Pump front axle;Develop preliminary hydraulic designs;mapping;predecessor activity;1;;;;;
Develop preliminary hydraulic designs;Pump front axle;mapping;predecessor activity;1;;;;;
Cooler front axle;Develop preliminary hydraulic designs;mapping;predecessor activity;1;;;;;
Develop preliminary hydraulic designs;Cooler front axle;mapping;predecessor activity;1;;;;;
Start project;Team leader;mapping;people;1;;;;;
Team leader;Start project;mapping;people;1;;;;;
TBD;Team leader;mapping;people;1;;;;;
Team leader;TBD;mapping;people;1;;;;;
Identify affected organizations and roles;Team leader;mapping;people;1;;;;;
Team leader;Identify affected organizations and roles;mapping;people;1;;;;;
Collect and assign technical requirements;Systems engineer;mapping;people;1;;;;;
Systems engineer;Collect and assign technical requirements;mapping;people;1;;;;;
Identify affected organizations and roles;Systems engineer;mapping;people;1;;;;;
Systems engineer;Identify affected organizations and roles;mapping;people;1;;;;;
Assign project milestones and budgets;Team leader;mapping;people;1;;;;;
Team leader;Assign project milestones and budgets;mapping;people;1;;;;;
Review / update preliminary design plan;Team leader;mapping;people;1;;;;;
Team leader;Review / update preliminary design plan;mapping;people;1;;;;;
Collect and assign technical requirements;Team leader;mapping;people;1;;;;;
Team leader;Collect and assign technical requirements;mapping;people;1;;;;;
Integrate and review preliminary tss designs and plans;Team leader;mapping;people;1;;;;;
Team leader;Integrate and review preliminary tss designs and plans;mapping;people;1;;;;;
Review / update detail design plan;Team leader;mapping;people;1;;;;;
Team leader;Review / update detail design plan;mapping;people;1;;;;;
Integrate and review detail tss designs and plans;Team leader;mapping;people;1;;;;;
Team leader;Integrate and review detail tss designs and plans;mapping;people;1;;;;;
Review / update build & test plan;Team leader;mapping;people;1;;;;;
Team leader;Review / update build & test plan;mapping;people;1;;;;;
Develop detail manufacturing plan;Team leader;mapping;people;1;;;;;
Team leader;Develop detail manufacturing plan;mapping;people;1;;;;;
Develop detail testing plan;Team leader;mapping;people;1;;;;;
Team leader;Develop detail testing plan;mapping;people;1;;;;;
Stop tss steering system project;Team leader;mapping;people;1;;;;;
Team leader;Stop tss steering system project;mapping;people;1;;;;;
Assemble & test tss steering systems;Team leader;mapping;people;1;;;;;
Team leader;Assemble & test tss steering systems;mapping;people;1;;;;;
Develop preliminary hydraulic designs;Hydraulics engineer;mapping;people;1;;;;;
Hydraulics engineer;Develop preliminary hydraulic designs;mapping;people;1;;;;;
Collect and assign technical requirements;Hydraulics engineer;mapping;people;1;;;;;
Hydraulics engineer;Collect and assign technical requirements;mapping;people;1;;;;;
Review / update preliminary design plan;Hydraulics engineer;mapping;people;1;;;;;
Hydraulics engineer;Review / update preliminary design plan;mapping;people;1;;;;;
Integrate and review preliminary tss designs and plans;Hydraulics engineer;mapping;people;1;;;;;
Hydraulics engineer;Integrate and review preliminary tss designs and plans;mapping;people;1;;;;;
Develop preliminary electrical designs;Electrical engineer;mapping;people;1;;;;;
Electrical engineer;Develop preliminary electrical designs;mapping;people;1;;;;;
Collect and assign technical requirements;Electrical engineer;mapping;people;1;;;;;
Electrical engineer;Collect and assign technical requirements;mapping;people;1;;;;;
Review / update preliminary design plan;Electrical engineer;mapping;people;1;;;;;
Electrical engineer;Review / update preliminary design plan;mapping;people;1;;;;;
Integrate and review preliminary tss designs and plans;Electrical engineer;mapping;people;1;;;;;
Electrical engineer;Integrate and review preliminary tss designs and plans;mapping;people;1;;;;;
Develop preliminary mechanical designs;Mechanical engineer;mapping;people;1;;;;;
Mechanical engineer;Develop preliminary mechanical designs;mapping;people;1;;;;;
Collect and assign technical requirements;Mechanical engineer;mapping;people;1;;;;;
Mechanical engineer;Collect and assign technical requirements;mapping;people;1;;;;;
Review / update preliminary design plan;Mechanical engineer;mapping;people;1;;;;;
Mechanical engineer;Review / update preliminary design plan;mapping;people;1;;;;;
Integrate and review preliminary tss designs and plans;Mechanical engineer;mapping;people;1;;;;;
Mechanical engineer;Integrate and review preliminary tss designs and plans;mapping;people;1;;;;;
Develop preliminary software designs;Platform integration engineer;mapping;people;1;;;;;
Platform integration engineer;Develop preliminary software designs;mapping;people;1;;;;;
Collect and assign technical requirements;Platform integration engineer;mapping;people;1;;;;;
Platform integration engineer;Collect and assign technical requirements;mapping;people;1;;;;;
Review / update preliminary design plan;Platform integration engineer;mapping;people;1;;;;;
Platform integration engineer;Review / update preliminary design plan;mapping;people;1;;;;;
Integrate and review preliminary tss designs and plans;Platform integration engineer;mapping;people;1;;;;;
Platform integration engineer;Integrate and review preliminary tss designs and plans;mapping;people;1;;;;;
Develop preliminary platform integration designs;Platform integration engineer;mapping;people;1;;;;;
Platform integration engineer;Develop preliminary platform integration designs;mapping;people;1;;;;;
Develop preliminary manufacturing plan;Manufacturing engineer;mapping;people;1;;;;;
Manufacturing engineer;Develop preliminary manufacturing plan;mapping;people;1;;;;;
Collect and assign technical requirements;Manufacturing engineer;mapping;people;1;;;;;
Manufacturing engineer;Collect and assign technical requirements;mapping;people;1;;;;;
Review / update preliminary design plan;Manufacturing engineer;mapping;people;1;;;;;
Manufacturing engineer;Review / update preliminary design plan;mapping;people;1;;;;;
Integrate and review preliminary tss designs and plans;Manufacturing engineer;mapping;people;1;;;;;
Manufacturing engineer;Integrate and review preliminary tss designs and plans;mapping;people;1;;;;;
Develop preliminary testing plan;Test engineer;mapping;people;1;;;;;
Test engineer;Develop preliminary testing plan;mapping;people;1;;;;;
Collect and assign technical requirements;Test engineer;mapping;people;1;;;;;
Test engineer;Collect and assign technical requirements;mapping;people;1;;;;;
Review / update preliminary design plan;Test engineer;mapping;people;1;;;;;
Test engineer;Review / update preliminary design plan;mapping;people;1;;;;;
Integrate and review preliminary tss designs and plans;Test engineer;mapping;people;1;;;;;
Test engineer;Integrate and review preliminary tss designs and plans;mapping;people;1;;;;;
Develop preliminary hydraulic designs;Team leader;mapping;people;1;;;;;
Team leader;Develop preliminary hydraulic designs;mapping;people;1;;;;;
Develop preliminary electrical designs;Team leader;mapping;people;1;;;;;
Team leader;Develop preliminary electrical designs;mapping;people;1;;;;;
Develop preliminary mechanical designs;Team leader;mapping;people;1;;;;;
Team leader;Develop preliminary mechanical designs;mapping;people;1;;;;;
Develop preliminary software designs;Team leader;mapping;people;1;;;;;
Team leader;Develop preliminary software designs;mapping;people;1;;;;;
Develop preliminary platform integration designs;Team leader;mapping;people;1;;;;;
Team leader;Develop preliminary platform integration designs;mapping;people;1;;;;;
Develop preliminary manufacturing plan;Team leader;mapping;people;1;;;;;
Team leader;Develop preliminary manufacturing plan;mapping;people;1;;;;;
Develop preliminary testing plan;Team leader;mapping;people;1;;;;;
Team leader;Develop preliminary testing plan;mapping;people;1;;;;;
Develop detail hydraulic designs;Hydraulics engineer;mapping;people;1;;;;;
Hydraulics engineer;Develop detail hydraulic designs;mapping;people;1;;;;;
Review / update detail design plan;Hydraulics engineer;mapping;people;1;;;;;
Hydraulics engineer;Review / update detail design plan;mapping;people;1;;;;;
Integrate and review detail tss designs and plans;Hydraulics engineer;mapping;people;1;;;;;
Hydraulics engineer;Integrate and review detail tss designs and plans;mapping;people;1;;;;;
Develop detail electrical designs;Electrical engineer;mapping;people;1;;;;;
Electrical engineer;Develop detail electrical designs;mapping;people;1;;;;;
Review / update detail design plan;Electrical engineer;mapping;people;1;;;;;
Electrical engineer;Review / update detail design plan;mapping;people;1;;;;;
Integrate and review detail tss designs and plans;Electrical engineer;mapping;people;1;;;;;
Electrical engineer;Integrate and review detail tss designs and plans;mapping;people;1;;;;;
Develop detail mechanical designs;Mechanical engineer;mapping;people;1;;;;;
Mechanical engineer;Develop detail mechanical designs;mapping;people;1;;;;;
Review / update detail design plan;Mechanical engineer;mapping;people;1;;;;;
Mechanical engineer;Review / update detail design plan;mapping;people;1;;;;;
Integrate and review detail tss designs and plans;Mechanical engineer;mapping;people;1;;;;;
Mechanical engineer;Integrate and review detail tss designs and plans;mapping;people;1;;;;;
Develop detail software designs;Software engineer;mapping;people;1;;;;;
Software engineer;Develop detail software designs;mapping;people;1;;;;;
Review / update detail design plan;Software engineer;mapping;people;1;;;;;
Software engineer;Review / update detail design plan;mapping;people;1;;;;;
Integrate and review preliminary tss designs and plans;Software engineer;mapping;people;1;;;;;
Software engineer;Integrate and review preliminary tss designs and plans;mapping;people;1;;;;;
Integrate and review detail tss designs and plans;Software engineer;mapping;people;1;;;;;
Software engineer;Integrate and review detail tss designs and plans;mapping;people;1;;;;;
Develop detail platform integration designs;Platform integration engineer;mapping;people;1;;;;;
Platform integration engineer;Develop detail platform integration designs;mapping;people;1;;;;;
Review / update detail design plan;Platform integration engineer;mapping;people;1;;;;;
Platform integration engineer;Review / update detail design plan;mapping;people;1;;;;;
Integrate and review detail tss designs and plans;Platform integration engineer;mapping;people;1;;;;;
Platform integration engineer;Integrate and review detail tss designs and plans;mapping;people;1;;;;;
Develop detail manufacturing plan;Manufacturing engineer;mapping;people;1;;;;;
Manufacturing engineer;Develop detail manufacturing plan;mapping;people;1;;;;;
Review / update detail design plan;Manufacturing engineer;mapping;people;1;;;;;
Manufacturing engineer;Review / update detail design plan;mapping;people;1;;;;;
Integrate and review detail tss designs and plans;Manufacturing engineer;mapping;people;1;;;;;
Manufacturing engineer;Integrate and review detail tss designs and plans;mapping;people;1;;;;;
Develop detail testing plan;Test engineer;mapping;people;1;;;;;
Test engineer;Develop detail testing plan;mapping;people;1;;;;;
Review / update detail design plan;Test engineer;mapping;people;1;;;;;
Test engineer;Review / update detail design plan;mapping;people;1;;;;;
Integrate and review detail tss designs and plans;Test engineer;mapping;people;1;;;;;
Test engineer;Integrate and review detail tss designs and plans;mapping;people;1;;;;;
Develop detail hydraulic designs;Team leader;mapping;people;1;;;;;
Team leader;Develop detail hydraulic designs;mapping;people;1;;;;;
Develop detail electrical designs;Team leader;mapping;people;1;;;;;
Team leader;Develop detail electrical designs;mapping;people;1;;;;;
Develop detail mechanical designs;Team leader;mapping;people;1;;;;;
Team leader;Develop detail mechanical designs;mapping;people;1;;;;;
Develop detail software designs;Team leader;mapping;people;1;;;;;
Team leader;Develop detail software designs;mapping;people;1;;;;;
Develop detail platform integration designs;Team leader;mapping;people;1;;;;;
Team leader;Develop detail platform integration designs;mapping;people;1;;;;;
Build tss steering components;Manufacturer;mapping;people;1;;;;;
Manufacturer;Build tss steering components;mapping;people;1;;;;;
Review / update build & test plan;Manufacturer;mapping;people;1;;;;;
Manufacturer;Review / update build & test plan;mapping;people;1;;;;;
Integrate and review detail tss designs and plans;Manufacturer;mapping;people;1;;;;;
Manufacturer;Integrate and review detail tss designs and plans;mapping;people;1;;;;;
Test tss steering components;Test engineer;mapping;people;1;;;;;
Test engineer;Test tss steering components;mapping;people;1;;;;;
Review / update build & test plan;Test engineer;mapping;people;1;;;;;
Test engineer;Review / update build & test plan;mapping;people;1;;;;;
Build tss steering components;Test engineer;mapping;people;1;;;;;
Test engineer;Build tss steering components;mapping;people;1;;;;;
Assemble & test tss steering systems;Manufacturer;mapping;people;1;;;;;
Manufacturer;Assemble & test tss steering systems;mapping;people;1;;;;;
Test tss steering components;Manufacturer;mapping;people;1;;;;;
Manufacturer;Test tss steering components;mapping;people;1;;;;;
