name;kind;alias
10B-001-05: Lorentzsluizen kamer 1 (1931, 2051);lock;l0
10B-001-06: Lorentzsluizen kamer 2 (1931, 2051);lock;l1
07F-125-01: Groevesluis-Noord (1960, 2069);lock;l2
07F-124-01: Groevesluis-Zuid (1963, 2072);lock;l3
07F-002-02: Zeesluizen Farmsum kamer 2 (1958, 2067);lock;l4
07D-135-01: Slochtersluis (1963, 2072);lock;l5
07C-003-01: Dorkwerdersluis (MWW) (1929, 2038);lock;l6
07D-002-04: Oostersluis (1994, 2103);lock;l7
06H-350-02: Gaarkeuken (1980, 2089);lock;l8
14E-001-01: Stevinsluizen (1930, 2051);lock;l9
20A-100-01: Naviduct Krabbersgat (2000, 2109);lock;l10
20A-100-02: Naviduct krabbersgat (2000, 2109);lock;l11
20A-001-01: Krabbersgatsluis (1969, 2069);lock;l12
20D-001-02: Houtribsluizen (1972, 2072);lock;l13
21E-001-01: Grote Kolksluis (1942, 2057);lock;l14
21E-002-01: Meppelerdiepsluis (1955, Onbekend);lock;l15
20D-001-01: Houtribsluizen (1972, 2072);lock;l16
21C-001-01: Roggebotsluis (1955, 2064);lock;l17
15F-001-01: Prinses Margrietsluis (MWW) (1950, 2059);lock;l18
25A-001-01: Noordersluis (1923, 2051);lock;l19
25E-001-01: Noordersluis (MWW) (1870, 2059);lock;l20
25E-001-02: Middensluis (MWW) (1870, 2059);lock;l21
25E-001-03: Zuidersluis (MWW) (1870, 2059);lock;l22
25E-001-07: Prins Willem Alexander sluis (MWW) (1991, 2100);lock;l23
25A-001-03: Zuidersluis (1876, 2051);lock;l24
21G-350-01: Spooldersluis (1961, 2070);lock;l25
25A-001-04: Kleine Sluis (1876, 2051);lock;l26
25A-001-02: Middensluis (MWW) (1891, 2047);lock;l27
31H-007-01: Noordersluis Kleine westelijke sluis (MWW) (1937, 2046);lock;l28
31H-007-02: Noordersluis Grote oostelijke sluis (MWW) (1937, 2046);lock;l29
33F-001-01: Sluis Eefde (1933, 2051);lock;l30
34E-001-01: Sluis Delden (MWW) (1933, 2042);lock;l31
34F-001-01: Sluis Hengelo (MWW) (1935, 2044);lock;l32
58C-002-03: Sluis Maasbracht west (1962, 2071);lock;l33
37H-001-02: Algerasluis (1958, 2067);lock;l34
39D-001-01: Prins Bernhardsluis Oude sluis (westelijke sluis - sluis 1) (1952, 2061);lock;l35
39B-001-02: Prinses Marijkesluis oostelijke sluis (MWW) (1937, 2046);lock;l36
39B-001-01: Prinses Marijkesluis westelijke sluis (MWW) (1937, 2046);lock;l37
39B-002-01: Prinses Irenesluis Duwvaartsluis (sluis 2) (1974, 2083);lock;l38
39B-002-02: Prinses Irenesluis Oude sluis (sluis 1) (MWW) (1937, 2046);lock;l39
44B-001-01: Biesboschsluis (1952, 2062);lock;l40
44B-003-01: Ottersluis (MWW) (1863, 2035);lock;l41
39D-001-02: Prins Bernhardsluis Duwvaartsluis (Oostelijke sluis - sluis 2) (1973, 2082);lock;l42
44B-002-01: Spieringsluis (1952, 2062);lock;l43
43C-002-04: Krammersluizencomplex 1e Jachtensluis (Zuid) (1987, 2096);lock;l44
40C-004-02: Sluis Weurt oost (MWW) (1927, 2050);lock;l45
44B-353-01: Helsluis (MWW) (1863, 2035);lock;l46
43G-001-05: Jachtensluis sluizencomplex Volkerak (1977, 2083);lock;l47
43C-002-03: Krammersluizencomplex 1e duwvaartsluis (Zuid) (1987, 2096);lock;l48
44D-001-01: Marksluis (1968, 2077);lock;l49
45B-351-01: Sluis Lith zuid (oud) (MWW) (1936, 2045);lock;l50
44D-002-01: Sluis I (1968, 2077);lock;l51
45G-352-01: Sluis Schijndel (1990, 2099);lock;l52
45D-358-01: Sluis Hintham (2012, 2121);lock;l53
45B-352-01: Sluis Empel (2012, 2121);lock;l54
45G-350-03: Sluis 4 (2009, 2118);lock;l55
44G-350-01: Sluis II (MWW) (1916, 2025);lock;l56
45F-001-01: Sluis Grave noord (nieuw) (1974, 2083);lock;l57
45A-001-01: Henriettesluis (Schutsluis Engelen) (MWW) (1898, 2035);lock;l58
45D-004-01: Sluis 0 (MWW) (1931, 2040);lock;l59
46D-350-02: Schutsluis Sambeek west (1967, 2076);lock;l60
51E-002-02: Sluis V (MWW) (1920, 2035);lock;l61
49B-001-01: Bergsediepsluis (1984, 2093);lock;l62
46D-350-03: Schutsluis Sambeek midden (1967, 2076);lock;l63
46A-001-01: Sluis Heumen (MWW) (1927, 2036);lock;l64
50F-350-02: Sluis III (2015, Onbekend);lock;l65
51H-003-01: Sluis 11 (2003, 2112);lock;l66
46D-350-01: Schutsluis Sambeek oost (MWW) (1925, 2034);lock;l67
49D-350-01: Kreekraksluizen (Oostsluis) (1969, 2078);lock;l68
51A-002-01: Sluis IV (1920, 2058);lock;l69
58C-001-04: Sluis Panheel (nieuwe kolk) (1987, 2096);lock;l70
54E-001-04: Middensluis, Terneuzen (MWW) (1910, 2034);lock;l71
51E-001-04: Sluis 5 (2009, 2118);lock;l72
51H-004-03: Sluis 10 (2007, 2116);lock;l73
58C-002-02: Sluis Maasbracht midden (1962, 2071);lock;l74
54E-001-07: Westsluis, Terneuzen (1967, 2076);lock;l75
51F-001-04: Sluis 6 (2009, 2118);lock;l76
58D-350-01: Sluis Roermond (MWW) (1926, 2035);lock;l77
58A-351-01: Sluis Hulsen (MWW) (1932, 2032);lock;l78
58A-001-01: Sluis 13 (2003, 2112);lock;l79
58E-350-03: Schutsluis Belfeld (midden) (1968, 2077);lock;l80
58D-001-01: Sluis Heel west (1971, 2076);lock;l81
58E-350-01: Schutsluis Belfeld oost (oude sluis) (MWW) (1926, 2035);lock;l82
51H-357-01: Sluis Helmond (1989, 2098);lock;l83
57F-001-01: Sluis 12 (2007, 2116);lock;l84
58A-002-01: Sluis 15 (1930, 2051);lock;l85
58D-001-02: Sluis Heel oost (1971, 2076);lock;l86
48E-001-01: Zandkreeksluis (1958, 2067);lock;l87
60A-001-02: Sluis Born oost (1958, 2067);lock;l88
58C-002-01: Sluis Maasbracht oost (1962, 2071);lock;l89
54E-001-01: Oostsluis, Terneuzen (1966, 2075);lock;l90
58E-350-02: Schutsluis Belfeld west (1968, 2077);lock;l91
49D-350-02: Kreekraksluizen (Westsluis) (1969, 2078);lock;l92
48H-353-02: Hansweert Westelijke sluis (1988, 2097);lock;l93
48H-353-01: Hansweert Oostelijke sluis (1988, 2097);lock;l94
40C-004-01: Sluis Weurt west (1977, 2086);lock;l95
58D-002-01: Sluis Linne (MWW) (1921, 2035);lock;l96
45B-001-01: Sluis Sint Andries (MWW) (1934, 2043);lock;l97
43C-002-02: Krammersluizencomplex 2e Duwvaartsluis (Noord) (1987, 2096);lock;l98
31H-006-01: Zuidersluis (MWW) (1937, 2046);lock;l99
43G-001-03: Sluis 3 (1977, 2084);lock;l100
38F-352-02: Prinses Beatrixsluis westelijke sluis (1933, 2055);lock;l101
31H-008-02: 2e Sluis Bewesten Utrecht (Muntsluis) (1906, Onbekend);lock;l102
43C-002-01: Krammersluizencomplex 2e Jachtensluis (Noord) (1995, 2096);lock;l103
43G-001-02: Sluis 2 (1967, 2073);lock;l104
37C-001-01: Goereese sluis (1960, 2069);lock;l105
42D-001-05: Roompotsluis (1982, 2091);lock;l106
43G-001-01: Sluis 1 (1967, 2073);lock;l107
32E-001-01: Nijkerkersluis (1962, 2071);lock;l108
43C-001-01: Grevelingensluis (1960, 2069);lock;l109
38F-352-01: Prinses Beatrixsluis oostelijke sluis (1938, 2055);lock;l110
38F-006-01: Koninginnensluis (1885, Onbekend);lock;l111
45B-351-03: Sluis Lith noord (nieuw) (1997, 2106);lock;l112
50F-350-01: Sluis III (MWW) (1916, 2025);lock;l113
07F-002-01: Zeesluizen Farmsum kamer 1 (1958, 2067);lock;l114
11C-350-01: Terhorne sluis (1948, 2057);lock;l115
07D-136-01: Driewegsluis (MWW) (1934, 2043);lock;l116
40A-004-01: Sluis Driel (1970, 2078);lock;l117
38F-001-02: Sluis Hagestein (1961, 2068);lock;l118
39B-003-01: Sluis Amerongen (1964, 2073);lock;l119
60A-001-01: Sluis Born midden (1958, 2067);lock;l120
44F-002-01: Wilhelminasluis, Andel (MWW) (1896, 2033);lock;l121
58C-001-01: Sluis Panheel (oude kolk,noord) (MWW) (1930, 2039);lock;l122
61F-002-01: Sluis Bosscherveld (MWW) (1930, 2039);lock;l123
31H-354-01: Sluis bij Den Hommel (MWW) (1937, 2046);lock;l124
60A-001-06: Sluis Born west (MWW) (1933, 2042);lock;l125
57H-001-01: Sluis 16 (MWW) (1930, 2039);lock;l126
